id,kategori,context,input_raw,output_formal
DSN0001,jadwal_kelas,dosen,pa besok ada kelas ga,"Pak, mohon izin bertanya, apakah besok ada perkuliahan, Pak? Terima kasih 🙏"
DSN0002,jadwal_kelas,dosen,bu besok jadi masuk ga,"Bu, mohon izin bertanya, apakah besok perkuliahan tetap dilaksanakan, Bu? Terima kasih 🙏"
DSN0003,jadwal_kelas,dosen,pak kelas hari ini jadi jam berapa,"Pak, mohon izin bertanya, kelas hari ini dimulai pukul berapa ya, Pak? Terima kasih 🙏"
DSN0004,jadwal_kelas,dosen,bu kelasnya mulai jam brp ya,"Bu, mohon izin bertanya, kelas hari ini dimulai pukul berapa ya, Bu? Terima kasih 🙏"
DSN0005,jadwal_kelas,dosen,ass pak besok kelasnya online apa offline,"Assalaamu'alaikum Pak, mohon izin bertanya, untuk perkuliahan besok dilaksanakan secara online atau offline ya, Pak? Terima kasih 🙏"
DSN0006,jadwal_kelas,dosen,aslm bu minggu ini ada kelas pengganti ga,"Assalaamu'alaikum Bu, mohon izin bertanya, apakah minggu ini ada kelas pengganti, Bu? Terima kasih 🙏"
DSN0007,jadwal_kelas,dosen,pa jadwal kelas minggu depan gimana,"Pak, mohon izin bertanya, bagaimana jadwal perkuliahan untuk minggu depan, Pak? Terima kasih 🙏"
DSN0008,jadwal_kelas,dosen,bu hari ini masuk sesuai jadwal ga,"Bu, mohon izin bertanya, apakah perkuliahan hari ini tetap sesuai jadwal, Bu? Terima kasih 🙏"
DSN0009,jadwal_kelas,dosen,pak kuliah hari ini kosong ga ya,"Pak, mohon izin bertanya, apakah perkuliahan hari ini tetap dilaksanakan, Pak? Terima kasih 🙏"
DSN0010,jadwal_kelas,dosen,ass bu besok mulai jam berapa,"Assalaamu'alaikum Bu, mohon izin bertanya, perkuliahan besok dimulai pukul berapa ya, Bu? Terima kasih 🙏"
DSN0011,ruang_kelas,dosen,pa kelasnya dimana ya,"Pak, mohon izin bertanya, perkuliahan ini dilaksanakan di ruangan mana ya, Pak? Terima kasih 🙏"
DSN0012,ruang_kelas,dosen,bu ruang kelasnya apa ya,"Bu, mohon izin bertanya, perkuliahan ini menggunakan ruangan apa ya, Bu? Terima kasih 🙏"
DSN0013,ruang_kelas,dosen,pak masuknya ruang berapa,"Pak, mohon izin bertanya, perkuliahan ini dilaksanakan di ruang berapa ya, Pak? Terima kasih 🙏"
DSN0014,ruang_kelas,dosen,bu kelas pindah ruangan kah,"Bu, mohon izin bertanya, apakah perkuliahan hari ini pindah ruangan, Bu? Terima kasih 🙏"
DSN0015,ruang_kelas,dosen,ass pak kelasnya di lab apa kelas biasa,"Assalaamu'alaikum Pak, mohon izin bertanya, perkuliahan hari ini dilaksanakan di laboratorium atau ruang kelas biasa ya, Pak? Terima kasih 🙏"
DSN0016,ruang_kelas,dosen,aslm bu ruangannya belum tau,"Assalaamu'alaikum Bu, mohon izin bertanya, saya belum mengetahui ruangan perkuliahan hari ini, Bu. Terima kasih 🙏"
DSN0017,ruang_kelas,dosen,pa lokasi kelasnya di gedung mana,"Pak, mohon izin bertanya, perkuliahan ini dilaksanakan di gedung mana ya, Pak? Terima kasih 🙏"
DSN0018,ruang_kelas,dosen,bu kelasnya jadi di ruangan lama ga,"Bu, mohon izin bertanya, apakah perkuliahan tetap dilaksanakan di ruangan sebelumnya, Bu? Terima kasih 🙏"
DSN0019,ruang_kelas,dosen,pak ruangan buat presentasi dimana,"Pak, mohon izin bertanya, ruangan untuk presentasi dilaksanakan di mana ya, Pak? Terima kasih 🙏"
DSN0020,ruang_kelas,dosen,ass bu saya belum nemu ruang kelasnya,"Assalaamu'alaikum Bu, mohon izin, saya belum menemukan ruangan perkuliahan hari ini, Bu. Terima kasih 🙏"
DSN0021,materi,dosen,pa materinya mana ya,"Pak, mohon izin bertanya, materi untuk perkuliahan ini dapat saya akses di mana ya, Pak? Terima kasih 🙏"
DSN0022,materi,dosen,bu file materinya dikirim dimana,"Bu, mohon izin bertanya, file materi perkuliahan ini dibagikan melalui media apa ya, Bu? Terima kasih 🙏"
DSN0023,materi,dosen,pak ppt nya ada ga,"Pak, mohon izin bertanya, apakah materi presentasi atau PPT perkuliahan dapat dibagikan, Pak? Terima kasih 🙏"
DSN0024,materi,dosen,bu modulnya bisa minta ga,"Bu, mohon izin bertanya, apakah saya dapat memperoleh modul perkuliahan, Bu? Terima kasih 🙏"
DSN0025,materi,dosen,ass pak materi minggu kemarin ada dimana,"Assalaamu'alaikum Pak, mohon izin bertanya, materi perkuliahan minggu lalu dapat saya akses di mana ya, Pak? Terima kasih 🙏"
DSN0026,materi,dosen,aslm bu saya cari materi belum ketemu,"Assalaamu'alaikum Bu, mohon izin, saya belum menemukan materi perkuliahan. Apakah Ibu berkenan menginformasikan tempat aksesnya? Terima kasih 🙏"
DSN0027,materi,dosen,pa bahan buat uts apa aja,"Pak, mohon izin bertanya, materi apa saja yang perlu dipelajari untuk UTS, Pak? Terima kasih 🙏"
DSN0028,materi,dosen,bu materi buat presentasi yang mana,"Bu, mohon izin bertanya, materi untuk presentasi menggunakan bagian yang mana ya, Bu? Terima kasih 🙏"
DSN0029,materi,dosen,pak rekaman kelas kemarin ada ga,"Pak, mohon izin bertanya, apakah rekaman perkuliahan kemarin dapat diakses, Pak? Terima kasih 🙏"
DSN0030,materi,dosen,ass bu link materi error,"Assalaamu'alaikum Bu, mohon izin, tautan materi yang saya akses mengalami kendala, Bu. Terima kasih 🙏"
DSN0031,tugas,dosen,pa tugasnya apa ya,"Pak, mohon izin bertanya, tugas yang perlu dikerjakan apa ya, Pak? Terima kasih 🙏"
DSN0032,tugas,dosen,bu tugas minggu ini ngapain,"Bu, mohon izin bertanya, tugas untuk minggu ini apa yang perlu dikerjakan, Bu? Terima kasih 🙏"
DSN0033,tugas,dosen,pak format tugasnya gimana,"Pak, mohon izin bertanya, bagaimana format pengerjaan tugas yang benar, Pak? Terima kasih 🙏"
DSN0034,tugas,dosen,bu tugasnya individu apa kelompok,"Bu, mohon izin bertanya, tugas ini dikerjakan secara individu atau kelompok, Bu? Terima kasih 🙏"
DSN0035,tugas,dosen,ass pak tugas dikumpul dimana,"Assalaamu'alaikum Pak, mohon izin bertanya, tugas dikumpulkan melalui media apa ya, Pak? Terima kasih 🙏"
DSN0036,tugas,dosen,aslm bu tugasnya boleh tulis tangan ga,"Assalaamu'alaikum Bu, mohon izin bertanya, apakah tugas ini diperbolehkan ditulis tangan, Bu? Terima kasih 🙏"
DSN0037,tugas,dosen,pa tugasnya file pdf atau word,"Pak, mohon izin bertanya, tugas dikumpulkan dalam format PDF atau Word ya, Pak? Terima kasih 🙏"
DSN0038,tugas,dosen,bu instruksi tugasnya kurang jelas,"Bu, mohon izin, saya ingin memastikan kembali instruksi tugas agar tidak salah pengerjaan, Bu. Terima kasih 🙏"
DSN0039,tugas,dosen,pak boleh tanya soal tugas,"Pak, mohon izin, saya ingin bertanya mengenai tugas yang diberikan, Pak. Terima kasih 🙏"
DSN0040,tugas,dosen,ass bu contoh tugasnya ada ga,"Assalaamu'alaikum Bu, mohon izin bertanya, apakah ada contoh format tugas yang dapat dijadikan acuan, Bu? Terima kasih 🙏"
DSN0041,deadline,dosen,pa deadline tugas kapan,"Pak, mohon izin bertanya, batas pengumpulan tugas sampai kapan ya, Pak? Terima kasih 🙏"
DSN0042,deadline,dosen,bu tugas dikumpulin jam berapa,"Bu, mohon izin bertanya, tugas dikumpulkan paling lambat pukul berapa ya, Bu? Terima kasih 🙏"
DSN0043,deadline,dosen,pak deadline nya hari ini ya,"Pak, mohon izin bertanya, apakah batas pengumpulan tugas pada hari ini, Pak? Terima kasih 🙏"
DSN0044,deadline,dosen,bu masih bisa ngumpul tugas ga,"Bu, mohon izin bertanya, apakah saya masih diperkenankan mengumpulkan tugas, Bu? Terima kasih 🙏"
DSN0045,deadline,dosen,ass pak telat ngumpul boleh ga,"Assalaamu'alaikum Pak, mohon maaf, apakah saya masih diperkenankan mengumpulkan tugas yang terlambat, Pak? Terima kasih 🙏"
DSN0046,deadline,dosen,aslm bu saya kelewat deadline,"Assalaamu'alaikum Bu, mohon maaf, saya melewati batas pengumpulan tugas. Apakah masih ada kesempatan untuk mengumpulkannya, Bu? Terima kasih 🙏"
DSN0047,deadline,dosen,pa deadline diundur ga,"Pak, mohon izin bertanya, apakah batas pengumpulan tugas diperpanjang, Pak? Terima kasih 🙏"
DSN0048,deadline,dosen,bu batas revisi kapan ya,"Bu, mohon izin bertanya, batas pengumpulan revisi sampai kapan ya, Bu? Terima kasih 🙏"
DSN0049,deadline,dosen,pak pengumpulan terakhir jam 12 malam kah,"Pak, mohon izin bertanya, apakah batas pengumpulan terakhir pukul 12 malam, Pak? Terima kasih 🙏"
DSN0050,deadline,dosen,ass bu tugas masih bisa nyusul ga,"Assalaamu'alaikum Bu, mohon maaf, apakah saya masih diperkenankan menyusulkan tugas, Bu? Terima kasih 🙏"
DSN0051,izin_absen,dosen,pa saya izin ga masuk hari ini,"Pak, mohon izin, saya tidak dapat mengikuti perkuliahan hari ini, Pak. Terima kasih 🙏"
DSN0052,izin_absen,dosen,bu saya izin tidak hadir karena sakit,"Bu, mohon izin, saya tidak dapat hadir pada perkuliahan hari ini karena sedang sakit, Bu. Terima kasih 🙏"
DSN0053,izin_absen,dosen,pak saya telat masuk kelas,"Pak, mohon maaf, saya terlambat mengikuti perkuliahan hari ini, Pak. Terima kasih 🙏"
DSN0054,izin_absen,dosen,bu saya ada urusan keluarga jadi ga bisa masuk,"Bu, mohon izin, saya tidak dapat mengikuti perkuliahan karena ada keperluan keluarga, Bu. Terima kasih 🙏"
DSN0055,izin_absen,dosen,ass pak saya sakit izin kelas dulu,"Assalaamu'alaikum Pak, mohon izin, saya belum dapat mengikuti perkuliahan hari ini karena sedang sakit, Pak. Terima kasih 🙏"
DSN0056,izin_absen,dosen,aslm bu saya ke dokter jadi tidak masuk,"Assalaamu'alaikum Bu, mohon izin, saya tidak dapat mengikuti perkuliahan karena harus berobat, Bu. Terima kasih 🙏"
DSN0057,izin_absen,dosen,pa saya izin keluar kelas sebentar,"Pak, mohon izin, apakah saya diperbolehkan keluar kelas sebentar, Pak? Terima kasih 🙏"
